ID     Step     MaxR |    avgR     stdR | avgS stdS |    objC     etc.
Act FileNotFound when load_model: output/2022-04-27_16-25-48
Critic FileNotFound when load_model: output/2022-04-27_16-25-48
pygame 2.0.1 (SDL 2.0.14, Python 3.6.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
 O  7.07e+06    50.50 |    0.00     1.58 |  127    0 |    0.00    -0.01    -0.06     0.00
 O  7.08e+06    50.50 |    0.25     1.09 |  127    0 |    0.00    -0.02    -0.07    -0.06
 O  7.09e+06    50.50 |   -0.50     2.18 |  126    4 |    0.09     0.04    -0.03    -0.31
 O  7.11e+06    50.50 |    0.15     0.65 |  127    0 |    0.00    -0.04    -0.04     0.00
 O  7.12e+06    50.50 |   -0.60     1.53 |  127    0 |    0.06    -0.06    -0.07    -0.12
 O  7.13e+06    50.50 |    0.00     0.00 |  127    0 |    0.09    -0.01    -0.10     0.12
 O  7.14e+06    50.50 |    0.35     1.53 |  127    0 |    0.12    -0.01    -0.08    -0.28
 O  7.16e+06    50.50 |    0.40     1.16 |  127    0 |    0.05     0.15    -0.06    -0.09
 O  7.17e+06    50.50 |    0.60     2.29 |  127    0 |    0.06     0.04    -0.05     9.69
 O  7.18e+06    50.50 |   -0.20     0.87 |  127    2 |    0.14    -0.06    -0.06     9.38
 O  7.19e+06    50.50 |    0.40     1.24 |  127    0 |    0.10    -0.06    -0.10    -0.06
 O  7.20e+06    50.50 |   15.90    66.80 |  126    3 |    0.12    -0.03    -0.06    -0.09
 O  7.22e+06    50.50 |   15.45    66.44 |  126    4 |    0.16    -0.06    -0.07    -0.34
 O  7.23e+06    50.50 |   -0.15     1.19 |  127    0 |    0.11     0.04    -0.06    -0.22
 O  7.24e+06    50.50 |    0.10     0.44 |  127    0 |    0.10     0.10    -0.05     0.12
 O  7.25e+06    50.50 |   -0.20     1.69 |  127    0 |    0.06    -0.02    -0.03     0.34
 O  7.27e+06    50.50 |   -0.05     1.50 |  127    0 |    0.18    -0.04    -0.06     0.12
 O  7.28e+06    50.50 |    0.05     0.50 |  127    0 |    0.05     0.01    -0.04     0.06
 O  7.29e+06    50.50 |    0.30     0.71 |  127    0 |    0.05    -0.06    -0.04     0.00
 O  7.30e+06    50.50 |    0.10     0.54 |  127    0 |    0.18     0.07    -0.04     9.44
 O  7.32e+06    50.50 |   14.85    67.51 |  123   11 |    0.13     0.05    -0.05     0.31
 O  7.33e+06    50.50 |   -0.35     1.96 |  127    0 |    0.11    -0.03    -0.06    -0.41
 O  7.34e+06    50.50 |   -0.10     0.44 |  127    0 |    0.07    -0.10    -0.07    -0.03
 O  7.35e+06    50.50 |    0.25     1.09 |  127    0 |    0.16     0.01    -0.10     9.34
 O  7.36e+06    50.50 |    0.25     1.26 |  127    0 |    0.03    -0.01    -0.05    -0.06
 O  7.38e+06    50.50 |    0.65     1.53 |  127    0 |    0.27     0.04    -0.02    27.73
 O  7.39e+06    50.50 |    0.00     0.00 |  127    0 |    0.10     0.05    -0.02     0.28
 O  7.40e+06    50.50 |   15.75    67.51 |  127    1 |    0.09     0.09    -0.03    -0.16
 O  7.41e+06    50.50 |   -0.10     0.44 |  127    0 |    0.04    -0.05    -0.04    -0.06
 O  7.43e+06    50.50 |   -0.65     1.62 |  126    6 |    0.03     0.02    -0.04    -0.06
 O  7.44e+06    50.50 |   -0.05     0.22 |  127    0 |    0.00    -0.16    -0.07     0.00
 O  7.45e+06    50.50 |    0.35     1.15 |  127    0 |    0.03     0.03    -0.05    -0.06
 O  7.46e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.04    -0.03    -0.09
 O  7.48e+06    50.50 |   -0.20     0.87 |  127    0 |    0.05    -0.05    -0.09    -0.06
 O  7.49e+06    50.50 |   -0.15     1.19 |  127    0 |    0.04     0.11    -0.09    -0.06
 O  7.50e+06    50.50 |   -0.10     0.44 |  127    0 |    0.03    -0.05    -0.10     0.06
 O  7.51e+06    50.50 |    0.00     1.58 |  127    0 |    0.02    -0.02    -0.08    -0.03
 O  7.52e+06    50.50 |   -0.25     1.09 |  127    0 |    0.08     0.02    -0.05     0.16
 O  7.54e+06    50.50 |    0.00     0.00 |  127    0 |    0.08    -0.06    -0.09    -0.16
 O  7.55e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.00    -0.11    -0.12
 O  7.56e+06    50.50 |    0.45     1.53 |  127    0 |    0.04    -0.09    -0.07    -0.06
 O  7.57e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.02    -0.07     0.00
 O  7.59e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.03    -0.06     0.00
 O  7.60e+06    50.50 |   -0.20     1.12 |  127    0 |    0.09     0.11    -0.05    -0.16
 O  7.61e+06    50.50 |    0.10     0.44 |  127    0 |    0.01    -0.08    -0.08     0.00
 O  7.62e+06    50.50 |   -0.05     0.22 |  127    0 |    0.05     0.08    -0.09    -0.06
 O  7.63e+06    50.50 |    0.00     0.00 |  127    0 |    0.10     0.01    -0.06     0.16
 O  7.65e+06    50.50 |    0.05     0.22 |  127    0 |    0.00    -0.07    -0.05     0.00
 O  7.66e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.02    -0.06     0.00
 O  7.67e+06    50.50 |    0.00     0.00 |  127    0 |    0.02    -0.01    -0.06     0.00
 O  7.68e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.01    -0.06     0.00
 O  7.70e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.06    -0.04     0.00
 O  7.71e+06    50.50 |   15.15    66.73 |  127    1 |    0.09    -0.08    -0.04     0.16
 O  7.72e+06    50.50 |    0.00     0.00 |  127    0 |    0.03     0.08    -0.09     0.06
 O  7.73e+06    50.50 |    0.00     0.00 |  127    0 |    0.07     0.05    -0.04     0.00
 O  7.75e+06    50.50 |    0.00     1.58 |  127    0 |    0.01    -0.02    -0.09    -0.06
 O  7.76e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.12    -0.05     0.00
 O  7.77e+06    50.50 |    0.00     0.00 |  127    0 |    0.03    -0.04    -0.05     0.22
 O  7.78e+06    50.50 |    0.00     0.00 |  127    0 |    0.03    -0.03    -0.05     0.00
 O  7.79e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.09    -0.03     0.00
 O  7.81e+06    50.50 |   -0.35     1.46 |  127    0 |    0.08     0.08    -0.06     0.16
 O  7.82e+06    50.50 |    0.10     0.44 |  127    0 |    0.00     0.01    -0.02     0.00
 O  7.83e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.04    -0.02     0.00
 O  7.84e+06    50.50 |    0.15     1.19 |  127    0 |    0.00     0.03    -0.03     0.00
 O  7.86e+06    50.50 |    0.00     0.63 |  127    0 |    0.03     0.07    -0.03     0.00
 O  7.87e+06    50.50 |    0.00     0.00 |  127    0 |    0.03    -0.02    -0.05    -0.03
 O  7.88e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.05    -0.04     0.00
 O  7.89e+06    50.50 |    0.00     0.00 |  127    0 |    0.05     0.01    -0.02     0.19
 O  7.91e+06    50.50 |   -0.10     0.44 |  127    0 |    0.04     0.06    -0.02     0.00
 O  7.92e+06    50.50 |    0.00     0.00 |  127    0 |    0.03     0.01    -0.04     0.06
 O  7.93e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.00    -0.08     0.00
 O  7.94e+06    50.50 |    0.20     0.87 |  127    0 |    0.00     0.09    -0.06     0.00
 O  7.95e+06    50.50 |   -0.10     0.44 |  127    0 |    0.01     0.01    -0.03     0.00
 O  7.97e+06    50.50 |    0.00     0.00 |  127    0 |    0.03     0.02    -0.05     0.00
 O  7.98e+06    50.50 |   -0.05     0.22 |  127    0 |    0.07     0.05    -0.08    -0.16
 O  7.99e+06    50.50 |   -0.10     0.44 |  127    0 |    0.02    -0.01    -0.03     0.00
 O  8.00e+06    50.50 |    0.00     0.00 |  127    0 |    0.10     0.08    -0.04     0.25
 O  8.02e+06    50.50 |    0.15     0.65 |  127    0 |    0.17    -0.05    -0.03     9.59
 O  8.03e+06    50.50 |    0.25     1.09 |  127    0 |    0.09     0.02    -0.03    -0.22
 O  8.04e+06    50.50 |   -0.35     1.15 |  127    0 |    0.11     0.07    -0.01     0.16
 O  8.05e+06    50.50 |    0.10     0.44 |  127    0 |    0.01     0.02    -0.04     0.00
 O  8.07e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.12    -0.06     0.00
 O  8.08e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.07    -0.03     0.00
 O  8.09e+06    50.50 |    0.25     1.09 |  127    0 |    0.02     0.11    -0.02     0.00
 O  8.10e+06    50.50 |    0.00     0.00 |  127    0 |    0.06    -0.06    -0.03     0.00
 O  8.11e+06    50.50 |    0.25     1.09 |  127    0 |    0.01     0.03    -0.04     0.00
[34m[1mwandb[39m[22m: Network error resolved after 0:01:02.833095, resuming normal operation.
 O  8.13e+06    50.50 |   15.35    66.91 |  126    2 |    0.04     0.05    -0.03    -0.03
 O  8.14e+06    50.50 |    0.00     0.00 |  127    0 |    0.04    -0.02    -0.04    -0.06
 O  8.15e+06    50.50 |    0.00     0.00 |  127    0 |    0.02    -0.00    -0.03     0.03
 O  8.16e+06    50.50 |    0.05     0.22 |  127    0 |    0.00    -0.02    -0.01     0.00
 O  8.18e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.06    -0.03     0.00
 O  8.19e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.01    -0.04     0.00
 O  8.20e+06    50.50 |   15.30    66.69 |  127    2 |    0.00    -0.00    -0.02     0.00
 O  8.21e+06    50.50 |    0.25     1.09 |  127    0 |    0.00    -0.09    -0.03     0.00
 O  8.22e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.00    -0.05     0.00
 O  8.24e+06    50.50 |    0.00     0.00 |  127    0 |    0.03    -0.02    -0.04    -0.06
 O  8.25e+06    50.50 |   -0.10     0.44 |  127    0 |    0.00    -0.08    -0.03     0.00
 O  8.26e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.09    -0.05    -0.06
 O  8.27e+06    50.50 |    0.00     0.00 |  127    0 |    0.03     0.05    -0.06     0.06
 O  8.29e+06    50.50 |   -0.25     1.09 |  127    0 |    0.09     0.05    -0.04     0.19
 O  8.30e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.04    -0.03     0.00
 O  8.31e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.05    -0.05     0.06
 O  8.32e+06    50.50 |   -0.25     1.09 |  127    0 |    0.04     0.06    -0.04     0.06
 O  8.34e+06    50.50 |    0.00     0.00 |  127    0 |    0.04    -0.02    -0.03     0.06
 O  8.35e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.00    -0.04     0.00
 O  8.36e+06    50.50 |    0.25     1.09 |  127    0 |    0.03     0.07    -0.10     0.06
 O  8.37e+06    50.50 |    0.25     1.09 |  127    0 |    0.00     0.00    -0.04     0.03
 O  8.38e+06    50.50 |    0.00     0.00 |  127    0 |    0.03     0.02    -0.06    -0.06
 O  8.40e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.04    -0.03     0.00
 O  8.41e+06    50.50 |    0.00     0.00 |  127    0 |    0.07    -0.13    -0.07     0.00
 O  8.42e+06    50.50 |    0.00     0.00 |  127    0 |    0.04    -0.04    -0.04     0.00
 O  8.43e+06    50.50 |    0.00     0.00 |  127    0 |    0.02     0.03    -0.04     0.06
 O  8.45e+06    50.50 |    0.00     0.00 |  127    0 |    0.02    -0.04    -0.04    -0.03
 O  8.46e+06    50.50 |   -0.05     0.22 |  127    0 |    0.07     0.01    -0.02    -0.06
 O  8.47e+06    50.50 |    0.25     1.09 |  127    0 |    0.12     0.06    -0.05    -0.06
 O  8.48e+06    50.50 |    0.10     0.44 |  127    0 |    0.12    -0.04    -0.05     0.00
 O  8.50e+06    50.50 |   -0.20     1.81 |  127    0 |    0.10    -0.09    -0.06     9.69
 O  8.51e+06    50.50 |    0.00     0.00 |  127    0 |    0.10    -0.06    -0.05    -0.16
 O  8.52e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.00    -0.02     0.00
 O  8.53e+06    50.50 |    0.10     0.44 |  127    0 |    0.00     0.08    -0.07     0.00
 O  8.54e+06    50.50 |   -0.05     0.22 |  127    0 |    0.08     0.01    -0.02     0.00
 O  8.56e+06    50.50 |   15.30    66.23 |  127    1 |    0.03     0.07    -0.05     0.00
 O  8.57e+06    50.50 |    0.00     0.00 |  127    0 |    0.01    -0.03    -0.06     0.00
 O  8.58e+06    50.50 |   -0.30     1.10 |  127    0 |    0.10    -0.06    -0.05     0.09
 O  8.59e+06    50.50 |    0.15     1.19 |  127    0 |    0.00    -0.06    -0.07     0.00
 O  8.61e+06    50.50 |    0.00     0.00 |  127    0 |    0.10    -0.01    -0.04     0.16
 O  8.62e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.02    -0.03     0.00
 O  8.63e+06    50.50 |    0.15     1.19 |  127    0 |    0.02    -0.04    -0.05    -0.03
 O  8.64e+06    50.50 |    0.20     0.87 |  127    0 |    0.05     0.03    -0.02     0.06
 O  8.65e+06    50.50 |    0.00     0.00 |  127    0 |    0.11     0.01    -0.02    -0.12
 O  8.67e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.08    -0.04     0.00
 O  8.68e+06    50.50 |   -0.25     1.09 |  127    0 |    0.03    -0.08    -0.03    -0.06
 O  8.69e+06    50.50 |   -0.25     1.09 |  127    0 |    0.09    -0.04    -0.05     0.03
 O  8.70e+06    50.50 |    0.00     0.00 |  127    0 |    0.10    -0.04    -0.03    -0.09
 O  8.72e+06    50.50 |    0.00     0.00 |  127    0 |    0.70     0.01    -0.04     0.00
 O  8.73e+06    50.50 |    0.00     0.00 |  127    0 |    0.08     0.00    -0.07    -0.12
 O  8.74e+06    50.50 |   -0.10     0.44 |  127    0 |    0.13     0.04    -0.07     0.62
 O  8.75e+06    50.50 |    0.25     1.09 |  127    0 |    0.06     0.05    -0.04    -0.19
 O  8.77e+06    50.50 |    0.00     0.00 |  127    0 |    0.00     0.07    -0.06     0.00
 O  8.78e+06    50.50 |   15.50    67.56 |  126    5 |    0.10    -0.01    -0.04     0.16
 O  8.79e+06    50.50 |    0.00     0.00 |  127    0 |    0.07     0.08    -0.04     0.09
 O  8.80e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.01    -0.06    -0.03
 O  8.81e+06    50.50 |   -0.25     0.99 |  127    0 |    0.06     0.08    -0.05     0.22
 O  8.83e+06    50.50 |   14.85    66.34 |  126    3 |    0.10    -0.07    -0.02    -0.09
 O  8.84e+06    50.50 |    0.00     0.00 |  127    0 |    0.09     0.05    -0.05    -0.16
 O  8.85e+06    50.50 |    0.00     0.00 |  127    0 |    0.05     0.14    -0.06    -0.16
 O  8.86e+06    50.50 |    0.20     0.60 |  127    0 |    0.04    -0.02    -0.04    -0.06
 O  8.88e+06    50.50 |    0.00     0.00 |  127    0 |    0.02    -0.04    -0.02     0.00
 O  8.89e+06    50.50 |    0.00     0.00 |  127    0 |    0.09    -0.00    -0.01     0.09
 O  8.90e+06    50.50 |    0.00     0.00 |  127    0 |    0.07     0.04    -0.07    -0.25
 O  8.91e+06    50.50 |    0.30     1.10 |  127    0 |    0.05     0.04    -0.03    -0.06
 O  8.93e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.09    -0.04     0.03
 O  8.94e+06    50.50 |   -0.25     1.09 |  127    0 |    0.12    -0.01    -0.04    19.41
 O  8.95e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.03    -0.06     0.00
 O  8.96e+06    50.50 |    0.00     0.00 |  127    0 |    0.11     0.01    -0.05    -0.22
 O  8.97e+06    50.50 |    0.00     0.00 |  127    0 |    0.21     0.03    -0.03     9.56
 O  8.99e+06    50.50 |    0.00     0.63 |  127    0 |    0.02     0.00    -0.06    -0.03
 O  9.00e+06    50.50 |    0.00     0.00 |  127    0 |    0.08    -0.01    -0.05     0.09
 O  9.01e+06    50.50 |   15.50    67.56 |  124   15 |    0.13     0.06    -0.09     9.62
 O  9.02e+06    50.50 |   -0.30     1.27 |  127    0 |    0.03     0.05    -0.05     0.06
 O  9.04e+06    50.50 |    0.00     0.00 |  127    0 |    0.10    -0.03    -0.05    -0.22
 O  9.05e+06    50.50 |   -0.15     1.19 |  127    0 |    0.09     0.01    -0.04     0.28
 O  9.06e+06    50.50 |    0.10     1.79 |  127    0 |    0.10     0.03    -0.02     0.00
 O  9.07e+06    50.50 |   -0.35     1.53 |  127    2 |    0.07    -0.01    -0.06    -0.03
 O  9.08e+06    50.50 |    0.00     1.10 |  127    0 |    0.10     0.10    -0.07     0.00
 O  9.10e+06    50.50 |    0.20     0.60 |  127    0 |    0.03    -0.07    -0.08    -0.06
 O  9.11e+06    50.50 |    0.00     1.58 |  127    0 |    0.10    -0.11    -0.08    -0.09
 O  9.12e+06    50.50 |    0.00     0.00 |  127    0 |    0.02    -0.09    -0.12    -0.03
 O  9.13e+06    50.50 |    0.25     1.09 |  127    0 |    0.06    -0.02    -0.07    -0.09
 O  9.15e+06    50.50 |   -0.10     0.70 |  127    0 |    0.07     0.13    -0.06     0.00
 O  9.16e+06    50.50 |   -0.10     0.44 |  127    0 |    0.02    -0.00    -0.07     0.00
 O  9.17e+06    50.50 |    0.10     0.99 |  127    0 |    0.03    -0.02    -0.10     0.00
 O  9.18e+06    50.50 |   -0.30     1.27 |  127    0 |    0.06    -0.01    -0.07    -0.12
 O  9.20e+06    50.50 |   -0.85     2.06 |  126    5 |    0.09     0.03    -0.06     0.16
 O  9.21e+06    50.50 |    0.10     0.44 |  127    0 |    0.06     0.08    -0.06     0.03
 O  9.22e+06    50.50 |    0.05     0.22 |  127    0 |    0.06     0.05    -0.06     0.00
 O  9.23e+06    50.50 |   -0.05     0.22 |  127    0 |    0.12    -0.05    -0.06    -0.31
 O  9.24e+06    50.50 |   -0.40     1.59 |  127    0 |    0.12    -0.05    -0.05    -0.31
 O  9.26e+06    50.50 |   -0.10     0.44 |  127    0 |    0.05    -0.02    -0.06     0.03
 O  9.27e+06    50.50 |   15.35    66.91 |  127    2 |    0.05    -0.07    -0.07    -0.06
 O  9.28e+06    50.50 |    0.15     1.19 |  127    0 |    0.10     0.04    -0.02    -0.06
 O  9.29e+06    50.50 |   -0.25     1.09 |  127    0 |    0.10     0.07    -0.06     0.31
 O  9.31e+06    50.50 |   -0.10     0.44 |  127    0 |    0.06     0.02    -0.07     0.03
 O  9.32e+06    50.50 |    0.00     0.00 |  127    0 |    0.08     0.04    -0.06     0.16
 O  9.33e+06    50.50 |   -0.25     1.09 |  127    0 |    0.05    -0.01    -0.11     0.00
 O  9.34e+06    50.50 |    0.00     0.00 |  127    0 |    0.07     0.11    -0.06    -0.16
 O  9.36e+06    50.50 |   -0.05     0.22 |  127    0 |    0.00    -0.05    -0.07     0.00
 O  9.37e+06    50.50 |    0.00     0.00 |  127    0 |    0.00    -0.01    -0.04     0.00
 O  9.38e+06    50.50 |   -0.05     0.67 |  127    0 |    0.09     0.02    -0.08     0.22
 O  9.39e+06    50.50 |   -0.10     0.44 |  127    0 |    0.00     0.07    -0.07     0.00
 O  9.40e+06    50.50 |    0.00     0.00 |  127    0 |    0.01     0.08    -0.06     0.00
 O  9.42e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.05    -0.06    -0.03
 O  9.43e+06    50.50 |    0.00     0.00 |  127    0 |    0.02     0.12    -0.04     0.00
 O  9.44e+06    50.50 |    0.00     0.00 |  127    0 |    0.10    -0.11    -0.11     0.19
 O  9.45e+06    50.50 |    0.00     0.00 |  127    0 |    0.11    -0.05    -0.49     0.19
 O  9.47e+06    50.50 |   -0.35     1.15 |  127    0 |    0.05     0.05    -0.29    -0.16
 O  9.48e+06    50.50 |    0.00     0.00 |  127    0 |    0.08     0.09    -0.57     0.16
 O  9.49e+06    50.50 |   -0.10     0.54 |  127    0 |    0.11     0.01    -0.50     0.06
 O  9.50e+06    50.50 |   15.45    67.57 |  126    2 |    0.05     0.05    -0.51     0.19
 O  9.52e+06    50.50 |   -0.20     0.87 |  127    0 |    0.17     0.09    -0.24     0.28
 O  9.53e+06    50.50 |    0.00     0.00 |  127    0 |    0.07    -0.03    -0.38     0.09
 O  9.54e+06    50.50 |   -0.25     1.09 |  127    0 |    0.09    -0.04    -0.34     0.31
 O  9.55e+06    50.50 |   -0.05     0.22 |  127    0 |    0.09    -0.03    -0.47     0.28
 O  9.56e+06    50.50 |    0.05     0.22 |  127    0 |    0.16    -0.12    -0.36     9.41
 O  9.58e+06    50.50 |   -0.05     1.43 |  127    0 |    0.16     0.02    -0.25     9.24
 O  9.59e+06    50.50 |   -0.20     0.60 |  127    0 |    0.10    -0.04    -0.54     0.00
 O  9.60e+06    50.50 |    0.00     0.00 |  127    0 |    0.08    -0.07    -0.66    -0.25
 O  9.61e+06    50.50 |   -0.10     0.44 |  127    0 |    0.09     0.05    -0.52    -0.03
 O  9.63e+06    50.50 |    0.00     0.00 |  127    0 |    0.07    -0.10    -0.42    -0.06
 O  9.64e+06    50.50 |   15.35    66.91 |  125    8 |    0.11     0.03    -0.30     0.00
 O  9.65e+06    50.50 |    0.00     0.00 |  127    0 |    0.04     0.00    -0.40    -0.03
 O  9.66e+06    50.50 |   -0.15     0.48 |  127    0 |    0.06    -0.05    -0.40     0.12
 O  9.67e+06    50.50 |   -0.10     0.44 |  127    0 |    0.10     0.03    -0.27     0.03
 O  9.69e+06    50.50 |    0.15     0.48 |  127    0 |    0.15    -0.06    -0.58     9.22
 O  9.70e+06    50.50 |    0.00     0.00 |  127    0 |    0.07    -0.03    -0.57     0.31
 O  9.71e+06    50.50 |   -0.35     1.15 |  126    6 |    0.14     0.05    -0.39     0.25
 O  9.72e+06    50.50 |    0.00     0.63 |  127    0 |    0.15    -0.03    -0.25    -0.25
 O  9.74e+06    50.50 |    0.10     0.44 |  127    0 |    0.09    -0.03    -0.42    -0.16
 O  9.75e+06    50.50 |   -0.25     1.22 |  127    0 |    0.02     0.01    -0.29     0.03
 O  9.76e+06    50.50 |   -0.10     0.44 |  127    0 |    0.03     0.01    -0.51     0.03
 O  9.77e+06    50.50 |    0.00     0.00 |  127    0 |    0.09    -0.00    -0.36    -0.28
 O  9.79e+06    50.50 |   -0.20     1.12 |  127    0 |    0.17     0.01    -0.41     9.75
 O  9.80e+06    50.50 |   -0.10     0.44 |  127    0 |    0.06    -0.08    -0.43    -0.03
 O  9.81e+06    50.50 |    0.20     0.87 |  127    0 |    0.04     0.09    -0.34    -0.06
 O  9.82e+06    50.50 |   -0.25     0.89 |  127    0 |    0.06     0.01    -0.43     0.09
 O  9.83e+06    50.50 |    0.10     0.44 |  127    0 |    0.13     0.09    -0.42     9.41
 O  9.85e+06    50.50 |    0.05     0.22 |  127    0 |    0.11     0.05    -0.43    -0.50
 O  9.86e+06    50.50 |    0.15     0.48 |  127    0 |    0.13     0.08    -0.42     9.59
 O  9.87e+06    50.50 |    0.30     1.90 |  127    0 |    0.06    -0.09    -0.48     0.22
 O  9.88e+06    50.50 |    0.05     0.50 |  127    0 |    0.10    -0.04    -0.53    -0.15
 O  9.90e+06    50.50 |    0.10     0.30 |  127    0 |    0.05    -0.14    -0.31     0.09
 O  9.91e+06    50.50 |    0.55     1.63 |  127    0 |    0.10    -0.05    -0.36    -0.25
 O  9.92e+06    50.50 |    0.35     0.73 |  127    0 |    0.14     0.03    -0.44     0.25
 O  9.93e+06    50.50 |   15.50    66.89 |  124   13 |    0.07    -0.14    -0.46     0.28
 O  9.95e+06    50.50 |    0.60     1.66 |  127    0 |    0.14    -0.10    -0.19     9.97
 O  9.96e+06    50.50 |    0.10     0.83 |  127    0 |    0.05     0.02    -0.35    -0.16
 O  9.97e+06    50.50 |   15.15    66.28 |  127    0 |    0.13     0.06    -0.32     9.75
 O  9.98e+06    50.50 |    0.30     1.14 |  127    0 |    0.06    -0.04    -0.34    -0.09
 O  9.99e+06    50.50 |   -0.05     1.53 |  127    0 |    0.15    -0.01    -0.23     0.09
 O  1.00e+07    50.50 |   -0.25     1.41 |  125    9 |    0.14     0.05    -0.19     0.31
 O  1.00e+07    50.50 |    1.15     2.78 |  127    1 |    0.15    -0.03    -0.25     9.69
 O  1.00e+07    50.50 |   -0.45     1.40 |  127    0 |    0.09     0.04    -0.17    -0.34
 O  1.00e+07    50.50 |   -0.20     1.25 |  127    0 |    0.14     0.07    -0.16     9.81
 O  1.01e+07    50.50 |   14.95    66.59 |  125    6 |    0.10    -0.01    -0.17     0.06
 O  1.01e+07    50.50 |   -0.25     0.99 |  127    0 |    0.07    -0.05    -0.22     0.03
 O  1.01e+07    50.50 |    0.55     1.99 |  127    0 |    0.15    -0.03    -0.30     0.22
 O  1.01e+07    50.50 |   -0.10     0.99 |  127    0 |    0.06     0.10    -0.24     0.12
 O  1.01e+07    50.50 |   15.35    66.47 |  124   12 |    0.03     0.09    -0.16    -0.06
 O  1.01e+07    50.50 |   -0.10     1.64 |  127    0 |    0.06     0.03    -0.17     0.50
 O  1.01e+07    50.50 |   15.65    66.62 |  125    7 |    0.08     0.05    -0.34     0.16
 O  1.01e+07    50.50 |    0.10     0.99 |  127    0 |    0.02    -0.01    -0.25    -0.06
 O  1.02e+07    50.50 |   -0.30     1.10 |  127    0 |    0.16    -0.02    -0.21     9.50
[34m[1mwandb[39m[22m: Network error resolved after 0:02:17.025854, resuming normal operation.
 O  1.02e+07    50.50 |    0.10     0.54 |  127    0 |    0.04     0.06    -0.23     0.03
 O  1.02e+07    50.50 |    0.20     0.60 |  127    0 |    0.12     0.07    -0.25     9.53
 O  1.02e+07    50.50 |   16.30    67.40 |  125   10 |    0.12     0.04    -0.32     0.19
 O  1.02e+07    50.50 |    0.00     0.32 |  127    0 |    0.08     0.04    -0.13    -0.34
 O  1.02e+07    50.50 |   -0.25     1.09 |  127    0 |    0.08     0.07    -0.28     0.28
 O  1.02e+07    50.50 |    0.05     0.80 |  127    0 |    0.10    -0.11    -0.18     0.19
 O  1.02e+07    50.50 |   -0.10     2.28 |  127    0 |    0.23     0.04    -0.21    18.61
 O  1.03e+07    50.50 |   -0.05     1.32 |  127    1 |    0.11     0.03    -0.32     0.28
 O  1.03e+07    50.50 |   14.80    66.37 |  125    8 |    0.16    -0.04    -0.29     0.47
 O  1.03e+07    50.50 |   30.35    91.57 |  126    4 |    0.12    -0.09    -0.29    -0.19
 O  1.03e+07    50.50 |   -0.05     0.67 |  127    0 |    0.12     0.02    -0.27    -0.09
 O  1.03e+07    50.50 |   15.00    66.77 |  126    5 |    0.12    -0.08    -0.19    -0.03
 O  1.03e+07    50.50 |    0.80     1.69 |  127    0 |    0.05     0.01    -0.29     0.00
 O  1.03e+07    50.50 |    0.15     1.35 |  127    0 |    0.06     0.03    -0.24    -0.12
 O  1.03e+07    50.50 |   15.20    66.72 |  124   15 |    0.15     0.11    -0.26     9.67
 O  1.04e+07    50.50 |   -0.10     0.70 |  127    0 |    0.15     0.11    -0.26     9.47
 O  1.04e+07    50.50 |   -0.10     0.77 |  127    0 |    0.13     0.04    -0.24     0.38
 O  1.04e+07    50.50 |   -0.15     1.65 |  127    0 |    0.12     0.14    -0.42     0.12
 O  1.04e+07    50.50 |   15.35    67.60 |  122   21 |    0.04    -0.03    -0.13    -0.03
 O  1.04e+07    50.50 |   -0.30     1.85 |  127    0 |    0.12     0.03    -0.16    -0.22
 O  1.04e+07    50.50 |   15.00    66.77 |  124    8 |    0.09    -0.02    -0.26     9.66
 O  1.04e+07    50.50 |    0.15     1.65 |  127    0 |    0.12     0.01    -0.18     0.03
