ID     Step     MaxR |    avgR     stdR | avgS stdS |    objC     etc.
Act FileNotFound when load_model: output/2022-04-25_22-58-15
Critic FileNotFound when load_model: output/2022-04-25_22-58-15
pygame 2.0.1 (SDL 2.0.14, Python 3.6.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
 O  7.41e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.02    -0.05     0.00
 O  7.54e+05    10.40 |    0.00     0.00 |  127    0 |    0.01    -0.04    -0.05     0.00
 O  7.66e+05    10.40 |    0.25     1.09 |  127    0 |    0.00     0.01    -0.06     0.00
 O  7.78e+05    10.40 |    0.00     0.00 |  127    0 |    0.00     0.08    -0.00     0.00
 O  7.91e+05    10.40 |    0.00     0.00 |  127    0 |    0.01     0.07    -0.04     0.00
 O  8.03e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.11    -0.00     0.00
 O  8.15e+05    10.40 |    0.00     0.00 |  127    0 |    0.00     0.03    -0.00     0.00
 O  8.27e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.04    -0.03     0.00
 O  8.40e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.02    -0.04     0.00
 O  8.52e+05    10.40 |    0.05     0.22 |  127    0 |    0.00     0.00    -0.05     0.00
 O  8.64e+05    10.40 |    0.00     0.00 |  127    0 |    0.00     0.03    -0.08     0.00
 O  8.77e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.06    -0.03     0.00
 O  8.89e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.05    -0.06     0.00
 O  9.01e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.03    -0.00     0.00
 O  9.13e+05    10.40 |    0.10     0.44 |  127    0 |    0.10    -0.05    -0.00     0.12
 O  9.26e+05    10.40 |    0.00     0.00 |  127    0 |    0.01    -0.03    -0.00     0.00
 O  9.38e+05    10.40 |    0.10     0.44 |  127    0 |    0.06    -0.03    -0.02     9.56
 O  9.50e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.03    -0.00     0.00
 O  9.63e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.01    -0.08     0.00
 O  9.75e+05    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.03    -0.03     0.00
 O  9.87e+05    10.40 |    0.00     0.00 |  127    0 |    0.05     0.05    -0.01     0.00
 O  9.99e+05    10.40 |    0.00     0.00 |  127    0 |    0.01    -0.08    -0.05     0.00
 O  1.01e+06    10.40 |    0.00     0.00 |  127    0 |    0.10     0.06    -0.03     0.16
 O  1.02e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.02    -0.01     0.00
 O  1.04e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.04    -0.00     0.00
 O  1.05e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.02    -0.02     0.00
 O  1.06e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.03    -0.04     0.00
 O  1.07e+06    10.40 |    0.00     0.00 |  127    0 |    0.00    -0.15    -0.01     0.00
