ID     Step     MaxR |    avgR     stdR | avgS stdS |    objC     etc.
Act FileNotFound when load_model: output/2022-04-25_22-58-15
Critic FileNotFound when load_model: output/2022-04-25_22-58-15
pygame 2.0.1 (SDL 2.0.14, Python 3.6.2)
Hello from the pygame community. https://www.pygame.org/contribute.html
 O  3.33e+06    41.70 |    0.85     1.80 |  127    0 |    0.11     0.00    -0.11     0.53
 O  3.35e+06    41.70 |    0.60     1.53 |  127    0 |    0.17    -0.05    -0.13    19.47
 O  3.36e+06    41.70 |    0.30     0.71 |  127    2 |    0.11     0.03    -0.12    10.15
 O  3.37e+06    41.70 |   31.10    92.47 |  125    7 |    0.07     0.09    -0.15     0.31
 O  3.38e+06    41.70 |    0.85     1.80 |  127    0 |    0.10     0.03    -0.08     0.38
 O  3.40e+06    41.70 |   15.80    67.50 |  126    4 |    0.07     0.07    -0.12     0.44
 O  3.41e+06    41.70 |   30.90    91.87 |  126    5 |    0.09     0.02    -0.08    18.97
 O  3.42e+06    41.70 |   15.60    66.86 |  124   11 |    0.05     0.01    -0.10     0.22
 O  3.43e+06    41.70 |   15.90    66.79 |  125    8 |    0.25    -0.01    -0.08    18.97
 O  3.44e+06    41.70 |   15.35    66.91 |  125    8 |    0.10     0.03    -0.13     0.44
 O  3.46e+06    41.70 |   15.80    67.50 |  127    2 |    0.18    -0.12    -0.06    18.82
 O  3.47e+06    41.70 |    0.85     1.59 |  127    0 |    0.16    -0.13    -0.05    10.44
 O  3.48e+06    41.70 |   15.80    67.50 |  126    6 |    0.12    -0.01    -0.06     0.47
 O  3.49e+06    41.70 |   15.65    66.85 |  127    1 |    0.18     0.03    -0.08     0.75
 O  3.51e+06    41.70 |   16.20    67.42 |  125    8 |    0.14    -0.01    -0.09     9.58
 O  3.52e+06    41.70 |   30.75    91.92 |  123   16 |    0.18     0.04    -0.08    10.22
 O  3.53e+06    41.70 |    0.20     0.60 |  127    0 |    0.07     0.06    -0.03     0.34
 O  3.54e+06    41.70 |    0.35     1.15 |  126    6 |    0.14    -0.07    -0.02    10.34
 O  3.56e+06    41.70 |   16.05    66.77 |  126    4 |    0.07    -0.03    -0.09     0.22
 O  3.57e+06    41.70 |    0.60     1.53 |  127    0 |    0.08     0.06    -0.13     0.25
 O  3.58e+06    41.70 |    0.65     1.28 |  127    0 |    0.18     0.00    -0.03    10.22
 O  3.59e+06    41.70 |    0.10     0.44 |  127    0 |    0.14     0.01    -0.05     0.50
 O  3.60e+06    41.70 |   31.60    92.64 |  125    9 |    0.19     0.02    -0.07     9.73
 O  3.62e+06    41.70 |    0.65     1.42 |  127    0 |    0.14     0.00    -0.01    10.12
 O  3.63e+06    41.70 |    0.10     0.44 |  127    0 |    0.13    -0.07    -0.08     0.59
 O  3.64e+06    41.70 |    0.35     1.15 |  126    6 |    0.19    -0.14    -0.02    19.75
 O  3.65e+06    41.70 |   15.65    66.62 |  126    5 |    0.20    -0.06    -0.10    18.82
 O  3.67e+06    41.70 |    0.45     1.20 |  127    0 |    0.05     0.06    -0.10     0.09
 O  3.68e+06    41.70 |    0.80     1.57 |  127    0 |    0.08    -0.02    -0.07     0.31
 O  3.69e+06    41.70 |   15.80    66.82 |  124   14 |    0.14     0.01    -0.11     0.50
 O  3.70e+06    41.70 |    0.85     1.80 |  125   10 |    0.21     0.10    -0.05    19.21
 O  3.72e+06    41.70 |   15.65    66.62 |  126    2 |    0.20     0.09    -0.05     1.09
 O  3.73e+06    41.70 |    0.10     0.44 |  127    0 |    0.10     0.02    -0.11     0.22
 O  3.74e+06    41.70 |   15.25    66.47 |  127    0 |    0.14    -0.06    -0.09     0.56
 O  3.75e+06    41.70 |   31.80    92.25 |  123   13 |    0.07     0.00    -0.12    10.09
 O  3.76e+06    41.70 |    0.80     1.69 |  127    0 |    0.03     0.06    -0.13     0.03
 O  3.78e+06    41.70 |   31.65    92.14 |  126    4 |    0.15     0.01    -0.11    10.48
 O  3.79e+06    41.70 |    0.85     1.80 |  127    0 |    0.11    -0.05    -0.17     0.56
 O  3.80e+06    41.70 |   15.55    66.87 |  126    5 |    0.13    -0.02    -0.18     9.84
 O  3.81e+06    41.70 |   15.35    66.91 |  127    0 |    0.19    -0.00    -0.09     0.81
 O  3.83e+06    41.70 |   15.60    67.54 |  125    8 |    0.15     0.08    -0.10     1.03
 O  3.84e+06    41.70 |   15.60    67.54 |  126    6 |    0.23     0.01    -0.15    19.88
 O  3.85e+06    41.70 |    0.40     1.02 |  127    0 |    0.13     0.01    -0.08    10.12
 O  3.86e+06    41.70 |    0.30     1.10 |  127    0 |    0.12    -0.02    -0.11    10.22
 O  3.87e+06    41.70 |   15.65    66.62 |  125   10 |    0.12    -0.26    -0.06    10.72
 O  3.89e+06    41.70 |    0.75     1.79 |  127    0 |    0.12    -0.11    -0.07     0.53
 O  3.90e+06    41.70 |    0.35     1.15 |  127    0 |    0.23    -0.05    -0.14     9.82
 O  3.91e+06    41.70 |    0.00     0.00 |  127    0 |    0.11     0.06    -0.06     0.31
 O  3.92e+06    41.70 |   16.10    67.44 |  126    3 |    0.09     0.06    -0.07    10.09
 O  3.94e+06    41.70 |    0.10     0.44 |  127    0 |    0.12    -0.08    -0.09     9.82
 O  3.95e+06    41.70 |    0.80     1.78 |  127    0 |    0.14     0.06    -0.07     0.06
 O  3.96e+06    41.70 |   31.25    92.92 |  123   14 |    0.14     0.07    -0.09     0.16
 O  3.97e+06    41.70 |   16.20    66.74 |  124   13 |    0.08     0.11    -0.05     9.61
 O  3.99e+06    41.70 |    0.55     1.24 |  127    0 |    0.13    -0.07    -0.17    18.82
 O  4.00e+06    41.70 |   16.00    67.46 |  125    7 |    0.16     0.01    -0.13     0.59
 O  4.01e+06    41.70 |    1.10     2.00 |  127    0 |    0.14     0.06    -0.09     0.69
 O  4.02e+06    41.70 |   15.70    67.52 |  126    3 |    0.14     0.02    -0.18    10.47
 O  4.03e+06    41.70 |    0.40     1.02 |  127    2 |    0.14     0.08    -0.12     0.53
 O  4.05e+06    41.70 |    0.65     1.53 |  127    0 |    0.18    -0.14    -0.21     0.94
 O  4.06e+06    41.70 |    0.35     1.15 |  127    0 |    0.18    -0.02    -0.13    10.06
 O  4.07e+06    41.70 |   15.85    66.58 |  125    9 |    0.18     0.06    -0.17    20.22
 O  4.08e+06    41.70 |   15.60    66.86 |  125   11 |    0.15     0.11    -0.06     9.88
 O  4.10e+06    41.70 |   31.40    92.71 |  125    5 |    0.12     0.07    -0.17    10.38
 O  4.11e+06    41.70 |    0.70     1.55 |  127    0 |    0.11    -0.05    -0.23     0.41
 O  4.12e+06    41.70 |    0.10     0.44 |  124   13 |    0.09    -0.05    -0.08     0.44
 O  4.13e+06    41.70 |   15.75    66.60 |  126    5 |    0.08    -0.08    -0.27     0.22
 O  4.15e+06    41.70 |    0.75     1.67 |  127    0 |    0.17     0.06    -0.19    10.09
 O  4.16e+06    41.70 |   31.80    92.75 |  121   15 |    0.26    -0.02    -0.16    29.38
 O  4.17e+06    41.70 |    0.60     1.24 |  127    0 |    0.13    -0.08    -0.16    10.34
 O  4.18e+06    41.70 |    0.75     1.55 |  127    0 |    0.08    -0.13    -0.11     0.25
 O  4.19e+06    41.70 |   31.55    92.82 |  125    6 |    0.14    -0.03    -0.14     0.59
 O  4.21e+06    41.70 |    0.70     1.68 |  127    0 |    0.10     0.07    -0.16     0.38
 O  4.22e+06    41.70 |   15.60    66.63 |  126    2 |    0.12     0.01    -0.19    10.28
 O  4.23e+06    41.70 |   15.45    66.89 |  124   15 |    0.24    -0.01    -0.15    28.27
 O  4.24e+06    41.70 |    1.30     2.15 |  125    7 |    0.17     0.07    -0.08    10.09
 O  4.26e+06    41.70 |   31.05    92.33 |  122   14 |    0.15     0.04    -0.09    10.12
 O  4.27e+06    41.70 |    0.70     1.55 |  127    0 |    0.23    -0.05    -0.14    28.30
 O  4.28e+06    41.70 |   31.33    92.56 |  124   10 |    0.30    -0.02    -0.12    28.45
 O  4.29e+06    41.70 |   16.30    67.40 |  125    8 |    0.14     0.06    -0.12     0.59
 O  4.30e+06    41.70 |    0.25     1.09 |  127    0 |    0.13     0.01    -0.11     0.44
 O  4.32e+06    41.70 |   16.15    67.43 |  125    9 |    0.09     0.03    -0.08     0.38
 O  4.33e+06    41.70 |   15.85    67.49 |  126    3 |    0.18    -0.05    -0.07    19.59
 O  4.34e+06    41.70 |   30.85    92.55 |  125    7 |    0.10    -0.07    -0.20     0.44
 O  4.35e+06    41.70 |   16.20    67.42 |  126    3 |    0.13     0.08    -0.09     0.72
 O  4.37e+06    41.70 |    0.80     1.69 |  126    5 |    0.26    -0.04    -0.04    28.94
 O  4.38e+06    41.70 |    0.75     1.55 |  127    0 |    0.26    -0.06    -0.07    19.50
 O  4.39e+06    41.70 |    0.25     1.09 |  127    0 |    0.11     0.01    -0.08    10.62
 O  4.40e+06    41.70 |   31.10    91.81 |  121   19 |    0.19     0.05    -0.06    19.81
 O  4.42e+06    41.70 |   15.90    66.57 |  127    0 |    0.14     0.06    -0.09    10.03
 O  4.43e+06    41.70 |   31.05    92.49 |  125    6 |    0.09    -0.09    -0.08     0.44
 O  4.44e+06    41.70 |    1.05     1.80 |  125    8 |    0.14    -0.07    -0.11    10.18
 O  4.45e+06    41.70 |   31.10    91.81 |  126    4 |    0.15     0.04    -0.05     9.64
 O  4.46e+06    41.70 |    0.95     1.80 |  127    0 |    0.12     0.05    -0.11    10.12
 O  4.48e+06    41.70 |    0.70     1.55 |  125   10 |    0.15    -0.07    -0.07    28.58
 O  4.49e+06    41.70 |   16.15    66.74 |  124   14 |    0.27    -0.05    -0.12    29.56
 O  4.50e+06    41.70 |   31.15    91.96 |  121   19 |    0.15     0.02    -0.19    10.28
 O  4.51e+06    41.70 |    0.80     1.17 |  126    4 |    0.04     0.05    -0.14     0.28
 O  4.53e+06    41.70 |    0.50     1.50 |  127    0 |    0.13     0.00    -0.13    10.00
 O  4.54e+06    41.70 |    0.15     0.48 |  127    0 |    0.14     0.06    -0.12     9.91
 O  4.55e+06    41.70 |   16.20    67.42 |  127    1 |    0.09    -0.02    -0.09    10.15
 O  4.56e+06    41.70 |    1.00     1.90 |  127    0 |    0.10    -0.15    -0.07     0.97
 O  4.58e+06    41.70 |    0.65     1.53 |  125    7 |    0.19    -0.09    -0.14    10.88
 O  4.59e+06    41.70 |    0.80     1.57 |  125    6 |    0.09     0.00    -0.12     0.47
 O  4.60e+06    41.70 |   16.40    66.70 |  125    7 |    0.16    -0.00    -0.09     0.59
 O  4.61e+06    41.70 |   16.20    67.42 |  124    9 |    0.15    -0.02    -0.09    10.53
 O  4.62e+06    41.70 |   31.45    92.36 |  122   18 |    0.20     0.12    -0.07    19.97
 O  4.64e+06    41.70 |    0.45     1.20 |  124   12 |    0.11     0.01    -0.11     9.76
 O  4.65e+06    41.70 |   16.10    66.76 |  127    1 |    0.16     0.06    -0.09    10.41
 O  4.66e+06    41.70 |   15.95    66.79 |  127    2 |    0.12     0.08    -0.12    10.16
 O  4.67e+06    41.70 |   41.63   103.90 |  122   14 |    0.12     0.09    -0.08     9.94
 O  4.69e+06    41.70 |   30.75    92.08 |  123   12 |    0.09     0.11    -0.05     0.38
 O  4.70e+06    41.70 |   15.80    66.82 |  125    9 |    0.16    -0.04    -0.09    10.25
 O  4.71e+06    41.70 |   15.95    66.55 |  126    6 |    0.18     0.06    -0.09    10.41
 O  4.72e+06    41.70 |   15.90    67.48 |  124   13 |    0.12    -0.06    -0.05     1.06
 O  4.73e+06    41.70 |   16.45    66.69 |  125    8 |    0.19     0.01    -0.10    10.00
 O  4.75e+06    41.70 |   15.55    67.32 |  126    2 |    0.15    -0.07    -0.15     0.91
 O  4.76e+06    41.70 |    0.40     1.16 |  127    0 |    0.09     0.05    -0.11     0.28
 O  4.77e+06    41.70 |   16.05    67.45 |  126    5 |    0.21    -0.06    -0.21    19.78
 O  4.78e+06    41.70 |    0.60     1.50 |  127    0 |    0.27    -0.03    -0.06    29.66
 O  4.80e+06    41.70 |   15.85    66.81 |  126    3 |    0.16     0.04    -0.10    10.94
 O  4.81e+06    41.70 |    0.95     1.80 |  127    0 |    0.19     0.02    -0.13     9.94
 O  4.82e+06    41.70 |    0.85     1.80 |  125    8 |    0.13    -0.05    -0.17     9.48
 O  4.83e+06    41.70 |    0.25     1.09 |  123   16 |    0.18     0.03    -0.07    10.24
 O  4.85e+06    41.70 |    0.95     1.80 |  127    0 |    0.09     0.05    -0.14    10.06
 O  4.86e+06    41.70 |    0.45     1.20 |  127    0 |    0.12    -0.05    -0.09     0.59
 O  4.87e+06    41.70 |    0.20     0.60 |  127    0 |    0.12    -0.05    -0.08    10.44
 O  4.88e+06    41.70 |    0.60     1.53 |  127    0 |    0.22    -0.04    -0.17    28.61
 O  4.89e+06    41.70 |   16.80    67.29 |  125    8 |    0.36    -0.18    -0.13    46.70
 O  4.91e+06    41.70 |    0.60     1.53 |  127    0 |    0.13     0.01    -0.14     0.97
 O  4.92e+06    41.70 |    1.30     1.98 |  127    0 |    0.25    -0.07    -0.14    28.58
 O  4.93e+06    41.70 |    0.45     0.80 |  127    0 |    0.09    -0.10    -0.08     0.31
 O  4.94e+06    41.70 |    1.00     1.64 |  127    0 |    0.10     0.04    -0.06     0.38
 O  4.96e+06    41.70 |    0.50     1.20 |  127    0 |    0.11    -0.04    -0.04     0.47
 O  4.97e+06    41.70 |    0.30     0.95 |  127    0 |    0.12     0.03    -0.08     0.67
 O  4.98e+06    41.70 |   16.20    66.73 |  126    5 |    0.07     0.12    -0.14     0.31
 O  4.99e+06    41.70 |   15.80    66.82 |  123   14 |    0.23    -0.04    -0.15    19.53
 O  5.01e+06    41.70 |    0.15     0.48 |  127    0 |    0.26    -0.08    -0.12    28.30
 O  5.02e+06    41.70 |   31.00    91.84 |  125    6 |    0.16     0.03    -0.07     0.94
 O  5.03e+06    41.70 |    1.30     1.76 |  127    0 |    0.18     0.03    -0.05    19.78
 O  5.04e+06    41.70 |   16.15    67.43 |  125    7 |    0.15     0.02    -0.09     0.78
 O  5.05e+06    41.70 |   31.35    92.39 |  123   13 |    0.10     0.06    -0.06     0.66
 O  5.07e+06    41.70 |    0.15     0.48 |  127    0 |    0.17    -0.01    -0.06     1.06
 O  5.08e+06    41.70 |   16.60    67.34 |  127    0 |    0.12     0.07    -0.14     0.59
 O  5.09e+06    41.70 |   31.67    92.79 |  124   10 |    0.15     0.05    -0.03    10.91
 O  5.10e+06    41.70 |    0.25     1.09 |  127    0 |    0.23     0.01    -0.04    19.69
 O  5.12e+06    41.70 |    0.15     0.48 |  127    0 |    0.13     0.00    -0.11     0.72
 O  5.13e+06    41.70 |    0.55     1.40 |  127    0 |    0.03    -0.04    -0.11     0.22
 O  5.14e+06    41.70 |    0.90     1.58 |  127    0 |    0.16     0.09    -0.16     0.88
 O  5.15e+06    41.70 |    0.50     1.50 |  127    0 |    0.09     0.13    -0.10     0.53
 O  5.17e+06    41.70 |   16.50    67.36 |  126    5 |    0.17    -0.02    -0.17     9.88
 O  5.18e+06    41.70 |   16.00    66.77 |  123   18 |    0.14    -0.04    -0.13     0.53
 O  5.19e+06    41.70 |    0.40     1.02 |  127    0 |    0.10     0.04    -0.11     0.69
 O  5.20e+06    41.70 |   15.90    67.48 |  126    3 |    0.10    -0.01    -0.19     0.50
 O  5.21e+06    41.70 |    1.10     2.00 |  127    0 |    0.12     0.08    -0.12     9.97
 O  5.23e+06    41.70 |    1.05     1.91 |  127    0 |    0.28     0.04    -0.05    37.67
 O  5.24e+06    41.70 |   16.30    66.71 |  127    0 |    0.10     0.09    -0.08     0.41
 O  5.25e+06    41.70 |   16.00    66.77 |  125    8 |    0.14     0.05    -0.09    10.06
 O  5.26e+06    41.70 |   31.70    91.79 |  124    9 |    0.14    -0.05    -0.07     0.78
 O  5.28e+06    41.70 |    0.45     1.20 |  126    4 |    0.17    -0.01    -0.05    19.39
 O  5.29e+06    41.70 |    0.30     0.71 |  127    0 |    0.11    -0.08    -0.16     0.66
 O  5.30e+06    41.70 |    0.35     1.15 |  127    0 |    0.27    -0.05    -0.07    29.16
 O  5.31e+06    41.70 |   16.40    67.38 |  125    7 |    0.15     0.03    -0.04     0.84
 O  5.32e+06    41.70 |   16.00    66.32 |  126    3 |    0.07     0.03    -0.11     0.25
 O  5.34e+06    41.70 |   15.70    66.83 |  125   10 |    0.11     0.00    -0.05     0.56
 O  5.35e+06    41.70 |   15.80    66.82 |  123   15 |    0.14     0.08    -0.04    10.38
 O  5.36e+06    41.70 |   31.70    92.34 |  123   13 |    0.23     0.00    -0.06    28.30
 O  5.37e+06    41.70 |    0.75     1.55 |  127    0 |    0.29     0.03    -0.10    39.03
 O  5.39e+06    41.70 |   16.00    66.77 |  122   14 |    0.28    -0.05    -0.07    28.18
 O  5.40e+06    41.70 |    0.75     1.79 |  127    0 |    0.17     0.06    -0.04    10.00
 O  5.41e+06    41.70 |   16.30    67.40 |  125   11 |    0.17     0.05    -0.06     9.97
 O  5.42e+06    41.70 |   15.95    67.47 |  126    4 |    0.22    -0.11    -0.10    28.55
 O  5.44e+06    41.70 |    0.45     0.80 |  125    9 |    0.13     0.07    -0.07     0.91
 O  5.45e+06    41.70 |   15.85    67.49 |  126    3 |    0.11     0.16    -0.07     0.72
 O  5.46e+06    41.70 |    0.20     0.60 |  126    5 |    0.15     0.02    -0.08    19.47
 O  5.47e+06    41.70 |    0.35     1.11 |  127    0 |    0.17    -0.13    -0.09     0.82
 O  5.48e+06    41.70 |   31.70    92.28 |  124    8 |    0.11    -0.02    -0.09    10.69
 O  5.50e+06    41.70 |    0.80     1.69 |  127    0 |    0.05    -0.03    -0.03     0.12
 O  5.51e+06    41.70 |    0.40     1.02 |  127    0 |    0.18    -0.01    -0.13    19.81
 O  5.52e+06    41.70 |    0.30     0.71 |  125    9 |    0.16     0.00    -0.06     0.69
 O  5.53e+06    41.70 |   15.55    66.87 |  124   13 |    0.14    -0.02    -0.10    10.42
 O  5.55e+06    41.70 |    0.55     0.86 |  126    4 |    0.20    -0.02    -0.08    19.97
 O  5.56e+06    41.70 |    1.50     1.96 |  127    0 |    0.15     0.03    -0.06     0.75
 O  5.57e+06    41.70 |   15.80    67.50 |  126    3 |    0.19     0.06    -0.10    28.42
 O  5.58e+06    41.70 |   16.00    66.77 |  127    1 |    0.15    -0.19    -0.07    10.62
 O  5.60e+06    41.70 |   16.25    66.72 |  125   10 |    0.10     0.05    -0.12    10.66
 O  5.61e+06    41.70 |   16.55    67.35 |  125    7 |    0.08    -0.07    -0.08     9.81
 O  5.62e+06    41.70 |    0.85     1.56 |  127    0 |    0.16     0.04    -0.02     9.85
 O  5.63e+06    41.70 |   31.87    92.06 |  121   19 |    0.12    -0.15    -0.07    10.06
 O  5.64e+06    41.70 |   31.90    92.22 |  124    8 |    0.13    -0.09    -0.09     0.82
 O  5.66e+06    41.70 |    1.10     1.92 |  127    0 |    0.12    -0.07    -0.15    10.31
 O  5.67e+06    41.70 |    0.35     1.15 |  127    0 |    0.10    -0.03    -0.04     9.29
 O  5.68e+06    41.70 |   16.35    67.16 |  126    3 |    0.15    -0.08    -0.05    10.16
 O  5.69e+06    41.70 |    0.35     1.15 |  125    8 |    0.11    -0.07    -0.04    10.25
 O  5.71e+06    41.70 |    1.00     1.90 |  127    0 |    0.11    -0.09    -0.11     0.85
 O  5.72e+06    41.70 |   16.40    66.46 |  125    7 |    0.15     0.12    -0.09    19.84
 O  5.73e+06    41.70 |   31.00    93.00 |  124   10 |    0.26     0.07    -0.08    37.61
 O  5.74e+06    41.70 |    0.60     1.24 |  127    0 |    0.12    -0.00    -0.07     9.88
 O  5.75e+06    41.70 |    0.30     0.71 |  127    0 |    0.28     0.03    -0.08    28.03
 O  5.77e+06    41.70 |    0.75     1.55 |  127    0 |    0.23     0.10    -0.08    29.00
 O  5.78e+06    41.70 |    1.35     2.06 |  126    4 |    0.14     0.01    -0.17    10.06
 O  5.79e+06    41.70 |   15.90    66.79 |  125    8 |    0.20     0.07    -0.20    19.50
 O  5.80e+06    41.70 |    0.00     0.00 |  127    0 |    0.09     0.10    -0.10     0.31
 O  5.82e+06    41.70 |    0.00     0.00 |  127    0 |    0.18    -0.06    -0.07     9.97
 O  5.83e+06    41.70 |    0.75     1.55 |  127    0 |    0.10     0.03    -0.13     0.22
 O  5.84e+06    41.70 |   31.65    92.30 |  125    7 |    0.19    -0.05    -0.07     0.84
 O  5.85e+06    41.70 |    0.15     0.48 |  127    0 |    0.14    -0.02    -0.06     0.84
 O  5.87e+06    41.70 |    0.20     0.60 |  127    0 |    0.15    -0.03    -0.09    10.25
 O  5.88e+06    41.70 |   15.85    66.58 |  126    5 |    0.21    -0.05    -0.06     1.12
 O  5.89e+06    41.70 |   31.45    92.86 |  125    5 |    0.18     0.06    -0.07    19.66
 O  5.90e+06    41.70 |    0.75     1.55 |  127    0 |    0.16    -0.06    -0.06    10.34
 O  5.91e+06    41.70 |   16.75    66.61 |  126    5 |    0.16     0.02    -0.12     0.81
 O  5.93e+06    41.70 |    0.95     1.56 |  127    0 |    0.14    -0.06    -0.08     0.59
 O  5.94e+06    41.70 |   32.15    92.14 |  124   14 |    0.12     0.04    -0.06    10.12
 O  5.95e+06    41.70 |   15.55    66.64 |  124   15 |    0.20    -0.12    -0.07    29.22
 O  5.96e+06    41.70 |   15.50    66.88 |  121   22 |    0.12     0.04    -0.07     0.84
 O  5.98e+06    41.70 |   16.05    66.76 |  125    9 |    0.10     0.10    -0.03    10.25
 O  5.99e+06    41.70 |    0.70     1.55 |  127    0 |    0.28    -0.06    -0.03    36.94
 O  6.00e+06    41.70 |   16.25    67.40 |  125    9 |    0.10     0.03    -0.04     0.69
 O  6.01e+06    41.70 |   31.90    92.72 |  124   11 |    0.19     0.05    -0.08    20.25
 O  6.03e+06    41.70 |   16.75    67.30 |  127    1 |    0.26    -0.03    -0.10    47.45
 O  6.04e+06    41.70 |    0.65     1.53 |  127    0 |    0.21    -0.03    -0.13    20.00
 O  6.05e+06    41.70 |    1.50     2.22 |  127    0 |    0.17    -0.05    -0.07    18.88
 O  6.06e+06    41.70 |    0.35     1.15 |  127    1 |    0.16     0.04    -0.11     0.88
 O  6.07e+06    41.70 |   16.65    67.32 |  126    6 |    0.28     0.03    -0.11    28.79
 O  6.09e+06    41.70 |   16.30    67.39 |  126    4 |    0.13     0.05    -0.06    10.21
 O  6.10e+06    41.70 |    1.40     1.96 |  127    0 |    0.19     0.06    -0.21    20.31
 O  6.11e+06    41.70 |   16.45    66.69 |  127    2 |    0.11    -0.04    -0.05    10.39
 O  6.12e+06    41.70 |    0.70     1.55 |  127    0 |    0.16    -0.03    -0.10    10.09
 O  6.14e+06    41.70 |    0.90     1.61 |  127    0 |    0.19     0.05    -0.08    19.48
 O  6.15e+06    41.70 |    0.80     1.57 |  127    0 |    0.14    -0.02    -0.03     0.72
 O  6.16e+06    41.70 |   31.47    91.96 |  124   13 |    0.18    -0.02    -0.07    28.94
 O  6.17e+06    41.70 |   31.05    91.99 |  123   14 |    0.19    -0.03    -0.09    20.00
 O  6.18e+06    41.70 |   16.25    67.40 |  126    6 |    0.19     0.11    -0.08    20.33
 O  6.20e+06    41.70 |    1.00     1.70 |  125    8 |    0.12     0.02    -0.07     0.72
 O  6.21e+06    41.70 |   31.40    91.88 |  123   12 |    0.18     0.07    -0.05    19.81
 O  6.22e+06    41.70 |   16.25    67.41 |  125   11 |    0.11    -0.00    -0.03     0.56
 O  6.23e+06    41.70 |   16.10    66.75 |  127    0 |    0.12    -0.02    -0.11     0.78
 O  6.25e+06    41.70 |   31.80    91.75 |  123   14 |    0.14    -0.10    -0.09    10.76
 O  6.26e+06    41.70 |    1.35     1.88 |  127    0 |    0.18     0.03    -0.05     0.97
 O  6.27e+06    41.70 |    0.85     1.62 |  127    0 |    0.21    -0.04    -0.02    19.36
 O  6.28e+06    41.70 |   16.45    67.37 |  127    0 |    0.28    -0.01    -0.06    37.68
 O  6.30e+06    41.70 |   31.70    92.28 |  125    5 |    0.10    -0.02    -0.08     0.59
 O  6.31e+06    41.70 |   31.20    92.44 |  125    7 |    0.12     0.04    -0.11     0.69
 O  6.32e+06    41.70 |    1.25     1.97 |  127    0 |    0.10     0.02    -0.11     0.53
 O  6.33e+06    41.70 |    0.90     1.81 |  127    0 |    0.11     0.04    -0.11    10.53
 O  6.34e+06    41.70 |    0.40     1.02 |  127    0 |    0.13    -0.04    -0.06    10.64
 O  6.36e+06    41.70 |   16.35    66.70 |  127    2 |    0.14    -0.03    -0.09     0.81
 O  6.37e+06    41.70 |    1.60     2.20 |  127    0 |    0.30    -0.10    -0.04    29.66
 O  6.38e+06    41.70 |    0.80     1.57 |  127    0 |    0.22    -0.07    -0.09    28.73
 O  6.39e+06    41.70 |   16.65    66.64 |  126    3 |    0.31     0.06    -0.07    38.45
 O  6.41e+06    41.70 |    0.55     1.40 |  124   11 |    0.17     0.02    -0.06    19.61
 O  6.42e+06    41.70 |    1.10     1.79 |  127    0 |    0.17     0.02    -0.09     1.00
 O  6.43e+06    41.70 |   16.30    67.40 |  124   12 |    0.11    -0.07    -0.11    10.28
 O  6.44e+06    41.70 |    0.10     0.44 |  126    6 |    0.14     0.06    -0.06     9.94
 O  6.46e+06    41.70 |   15.80    66.59 |  127    1 |    0.12    -0.12    -0.08     0.66
 O  6.47e+06    41.70 |    0.60     1.11 |  127    0 |    0.19     0.02    -0.08    28.12
 O  6.48e+06    41.70 |    0.95     1.60 |  127    0 |    0.14    -0.07    -0.07     9.82
 O  6.49e+06    41.70 |   16.35    66.70 |  124    8 |    0.22    -0.08    -0.11    29.12
 O  6.50e+06    41.70 |   31.30    92.41 |  121   19 |    0.13     0.04    -0.03    10.09
 O  6.52e+06    41.70 |    0.80     1.57 |  127    0 |    0.15     0.02    -0.07    10.31
 O  6.53e+06    41.70 |   31.85    91.57 |  122   18 |    0.19     0.03    -0.06    28.39
 O  6.54e+06    41.70 |   31.60    91.82 |  120   20 |    0.21    -0.02    -0.08    29.00
 O  6.55e+06    41.70 |    1.20     1.99 |  127    0 |    0.17    -0.05    -0.04     1.22
 O  6.57e+06    41.70 |    0.80     1.57 |  127    0 |    0.18     0.02    -0.04    10.53
 O  6.58e+06    41.70 |    1.05     1.91 |  127    0 |    0.20     0.03    -0.03    19.27
 O  6.59e+06    41.70 |    0.60     1.53 |  127    0 |    0.22    -0.06    -0.05    37.76
 O  6.60e+06    41.70 |   16.10    66.75 |  123   12 |    0.15     0.02    -0.05    20.56
 O  6.62e+06    41.70 |   16.05    66.77 |  125    6 |    0.18    -0.06    -0.03    19.56
 O  6.63e+06    41.70 |   16.25    67.41 |  125    7 |    0.18     0.02    -0.04    10.59
 O  6.64e+06    41.70 |   31.60    92.81 |  123   13 |    0.10     0.02    -0.09    10.75
 O  6.65e+06    41.70 |   31.33    92.23 |  122   15 |    0.11     0.05    -0.03     0.62
 O  6.66e+06    41.70 |   31.80    91.59 |  126    5 |    0.19     0.05    -0.05    10.34
 O  6.68e+06    41.70 |    0.45     1.20 |  127    0 |    0.14     0.02    -0.02    10.22
 O  6.69e+06    41.70 |    0.55     1.24 |  127    0 |    0.12    -0.03    -0.08    10.45
 O  6.70e+06    41.70 |    0.85     1.80 |  125    8 |    0.12     0.04    -0.04    10.25
 O  6.71e+06    41.70 |    1.00     1.58 |  127    0 |    0.09    -0.05    -0.12     9.85
 O  6.73e+06    41.70 |    1.10     1.84 |  127    0 |    0.15     0.04    -0.04    10.58
 O  6.74e+06    41.70 |    0.95     1.80 |  127    0 |    0.15    -0.01    -0.07     0.53
 O  6.75e+06    41.70 |    1.05     1.80 |  127    0 |    0.20     0.06    -0.05    10.62
 O  6.76e+06    41.70 |   15.70    67.52 |  127    2 |    0.19     0.03    -0.05    19.36
